Genero;Edad;Tipo_Hogar;Vive_rural;Actividad_Laboral;Trabajo_Esencial;Ingreso_Neto_Mensual;¿Hasta que punto está preocupado de que Usted o un miembro de su familia se pueda contagiar de Coronavirus COVID-19? ;¿Ha podido concentrarse bien en lo que hace?;¿Sus preocupaciones le han hecho perder el sueño?;¿Ha sentido que está jugando un papel útil en la vida? ;¿Se ha sentido capaz de tomar decisiones?;¿Se ha sentido constantemente agobiado y en tensión?;¿Ha sentido que no puede superar sus dificultades?;¿Ha sido capaz de disfrutar sus actividades normales de cada día?;¿Ha sido capaz de hacer frente a sus problemas?;¿Se ha sentido deprimido?;¿Ha perdido confianza en sí mismo?;¿Ha pensado que usted es una persona que no vale para nada?;¿Se siente razonablemente bien dadas las circunstancias actuales?;¿Ha experimentado problemas físicos derivados de la falta de actividad física?;¿Ha experimentado insomnio/problemas para dormir?;Aburrimiento;Sensación de aislamiento;Frustación;Irritación;Preocupación;Soledad;Impotencia;Rabia;Miedo;Nerviosismo;Tristeza;Culpa;Felicidad;Alivio;Acuerdo_Cumplimiento_Medidas;La personas importantes para mi respetan a rajatabla las medidas para frenar el contagio;En mi entorno directo he tenido conocimiento de muy pocos casos de personas que hayan infringido las medidas de prevención de contagio;Las personas que son importantes para mi piensan que respetar las medidas de prevención del contagio es lo correcto;Acuerdo_Presion_Social;Pensar en el COVID-19  me hace sentir ansioso/a;Me siento tenso/a cuando pienso en la amenaza del  COVID19
1;46;6;0;2;0;2;5;1;1;1;3;1;1;1;1;1;3;3;3;5;1;5;5;3;3;1;5;1;1;1;1;1;5;3;5;1;1;1;5;1;5;5
1;19;3;1;2;0;1;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;5;5;4;5;5;5;5;4;5
1;59;5;1;2;0;2;5;4;2;3;3;1;2;2;3;2;3;3;3;2;4;5;4;4;2;1;4;1;2;1;1;1;4;5;5;4;5;4;5;5;5;5
1;61;6;1;2;0;3;4;2;3;2;3;2;3;2;2;2;3;3;2;3;2;4;4;4;3;4;3;2;3;3;1;2;2;4;3;4;4;4;5;5;3;3
1;61;6;1;2;0;3;4;2;2;3;3;2;3;2;4;2;3;3;3;3;2;2;3;2;3;2;3;4;4;4;2;2;3;3;4;4;4;4;5;4;4;4
1;33;4;0;2;0;1;5;1;1;5;1;1;1;1;3;3;2;1;2;3;2;5;1;1;1;1;3;1;5;1;1;3;5;5;5;1;4;2;5;5;5;5
1;54;4;0;2;0;5;5;3;3;3;3;2;4;1;4;3;3;4;3;3;1;4;2;5;4;1;5;1;1;5;3;1;5;2;3;4;5;5;5;5;3;3
1;55;4;0;2;0;4;4;4;1;3;5;4;5;3;5;3;4;5;3;5;1;5;5;4;4;2;5;4;4;3;4;3;5;3;3;2;5;5;5;5;2;4
1;56;6;0;2;0;2;5;2;1;3;3;2;2;3;3;2;3;2;3;3;1;4;3;2;3;1;4;2;2;1;1;1;5;5;5;2;5;3;5;3;5;5
1;62;6;0;2;1;3;5;1;1;5;3;3;3;3;4;2;2;3;3;2;1;5;5;1;2;2;2;1;1;2;2;1;5;4;4;5;5;1;5;1;5;5
1;73;6;0;2;1;0;5;1;5;5;5;1;3;1;1;1;3;5;3;1;1;3;5;1;1;1;3;3;1;3;1;1;5;5;5;5;5;5;5;5;5;5
1;66;6;0;2;0;0;2;3;1;3;3;2;4;1;2;3;5;2;1;2;1;2;1;1;2;1;3;1;2;1;1;1;4;4;5;2;5;2;5;2;3;2
1;59;4;1;2;0;3;5;3;3;3;3;3;4;3;3;1;1;3;3;3;1;1;3;3;1;1;3;1;3;1;1;1;3;3;3;1;5;5;5;3;3;5
1;56;4;1;2;0;6;3;4;1;4;4;4;5;5;4;4;4;5;3;3;4;2;3;5;4;3;5;5;4;5;4;3;5;3;3;3;3;3;5;1;2;3
1;34;5;1;2;0;3;5;2;3;1;1;2;2;3;3;3;3;2;3;2;3;4;4;1;1;1;3;1;1;1;1;2;3;4;4;2;4;3;4;3;4;4
0;73;7;0;7;1;3;1;3;4;1;5;2;4;2;3;2;5;5;3;2;3;5;2;4;1;5;2;2;2;5;5;2;5;3;3;4;5;4;3;5;1;1
0;64;4;0;7;0;4;3;4;3;3;3;3;3;2;3;3;3;4;2;3;4;3;4;4;4;4;5;5;5;5;5;5;5;3;3;4;3;4;4;5;3;3
0;63;4;0;7;0;3;4;3;3;3;3;3;3;3;2;2;3;4;3;3;3;4;2;2;2;1;4;1;1;4;3;1;5;2;5;2;2;4;4;4;3;4
1;65;5;0;7;1;4;4;2;2;3;4;2;2;3;3;3;3;3;3;2;2;5;4;4;3;2;5;2;2;2;3;2;3;3;4;3;5;5;4;4;3;4
0;68;6;0;7;0;4;4;3;3;3;3;3;3;2;3;3;3;3;3;3;3;2;2;3;3;2;2;3;3;2;3;3;3;3;4;3;5;5;5;5;4;4
0;63;6;0;7;0;4;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;3;4;4;4;4;4;4;4;3;4;4;5;5;5;4;3;3
0;65;6;0;7;0;4;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;5;5;5;4;2;5;3;3;3;3;3;2;4;5;4;4;4;5;4;3;3
1;70;6;0;7;0;4;3;3;3;3;4;3;3;4;3;3;3;3;3;2;3;5;5;5;5;4;4;5;5;4;5;4;5;2;3;5;5;5;5;5;1;1
0;69;1;0;7;0;3;4;4;5;3;4;5;5;3;3;5;5;5;4;5;5;4;4;4;5;4;4;4;5;5;4;4;5;3;3;2;5;5;5;3;2;2
0;79;6;0;7;0;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;5;4;5;5;4;4;4;5;5;5;5;5;3;3;4;5;5;5;5;4;4
0;67;6;0;7;0;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;4;5;5;5;4;2;2
1;69;7;1;7;0;2;4;3;2;3;2;3;3;3;3;2;3;3;3;3;2;5;5;2;2;2;3;2;1;5;3;2;5;3;3;4;5;5;5;4;4;4
1;66;7;1;7;0;4;4;3;3;4;3;3;3;3;3;3;3;4;4;3;3;5;3;3;5;3;5;5;5;5;5;5;5;3;3;4;5;5;5;3;3;4
1;60;4;1;7;0;4;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;3;1;2;2;2;4;2;2;2;2;2;3;3;4;3;5;5;5;4;3;3
0;63;6;1;7;0;4;3;3;4;3;3;4;4;3;3;3;3;4;4;2;3;4;3;5;5;4;4;4;5;4;4;4;5;3;3;3;3;5;5;3;3;2
0;66;6;1;7;0;4;5;3;3;3;3;3;3;4;4;3;3;3;3;3;3;4;4;4;4;2;5;4;4;2;3;4;5;3;3;2;5;5;5;5;4;4
0;67;4;1;7;0;3;4;3;3;3;2;2;3;2;3;2;3;4;3;1;2;3;3;3;4;2;3;3;3;2;3;3;3;3;3;5;5;4;5;5;3;3
1;38;1;1;7;0;1;5;2;1;1;2;4;1;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;4;3;5;4
1;77;1;1;7;0;3;1;1;1;5;5;1;1;1;1;1;3;1;3;1;1;1;1;1;3;1;1;1;1;1;1;1;5;4;4;1;5;5;5;3;5;5
1;67;3;1;7;0;2;5;1;1;5;5;2;3;3;3;1;3;2;3;2;2;4;4;3;2;1;4;3;1;1;3;2;5;3;3;3;4;4;5;4;3;4
0;60;4;1;7;0;3;5;3;1;5;5;1;1;1;5;1;1;3;3;1;1;1;1;1;1;1;3;3;1;1;1;1;3;1;1;1;5;5;5;3;4;5
1;63;4;1;7;0;4;5;3;3;3;3;3;5;3;5;5;5;5;3;5;5;5;5;5;5;3;5;3;3;2;3;5;5;2;3;5;5;3;5;4;3;3
0;66;6;1;7;1;3;4;3;3;3;3;3;3;1;2;2;3;3;2;2;3;1;1;2;4;2;3;1;3;2;3;3;5;3;3;4;5;5;5;4;3;4
0;68;6;1;7;0;3;3;3;3;3;3;3;3;2;3;3;3;3;4;3;3;3;5;5;5;4;5;4;4;5;5;5;5;3;3;4;4;4;5;4;1;2
0;67;6;0;7;0;2;3;3;3;4;3;3;3;2;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;5;5;5;5;3;5;4;5;5;5;5;3;3
1;70;1;0;7;0;3;2;3;5;4;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;1;1;3;5;3;5;4;3;3
1;69;1;0;7;0;2;5;3;4;4;3;1;2;1;3;2;4;5;4;4;5;2;1;1;4;1;1;1;1;1;4;1;5;4;4;4;5;4;4;5;5;5
1;68;1;0;7;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;3;2;2;3;3;3;3;3;3;3;3;4;4;5;4;5;3;3
1;76;1;0;7;0;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;1;1;1;1;2;2;3;3;3;3;5;2;5;5;4;5
1;66;1;0;7;0;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;2;4;2;5;4;5;5;5;5;5;5;5;5;3;3;4;5;5;5;3;2;2
1;70;1;0;7;0;2;5;3;3;3;5;3;3;3;3;2;3;5;4;1;2;2;1;5;5;2;2;1;5;4;5;4;5;2;5;3;5;5;5;4;4;4
1;69;1;0;7;0;2;3;3;1;2;3;4;4;4;3;3;3;2;3;2;1;4;3;3;5;3;5;3;5;4;4;4;5;3;5;4;4;5;4;4;3;3
0;59;1;0;7;0;1;3;4;5;2;5;4;4;2;3;5;5;3;3;3;4;4;4;5;5;5;4;5;4;5;4;4;5;5;3;3;5;3;5;5;2;2
1;69;1;0;7;0;3;5;3;4;2;3;3;3;2;3;3;3;3;3;2;3;3;2;3;3;2;2;3;2;2;3;2;3;4;4;4;5;5;5;3;2;3
0;65;1;0;7;0;2;5;4;2;3;4;1;2;5;4;1;3;3;4;4;1;3;2;2;2;1;2;2;2;2;2;2;1;4;3;3;4;4;5;5;5;5
0;69;1;0;7;0;3;5;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;2;3;3;5;3;3;2;3;3;5;3;3;5
0;69;1;0;7;0;3;4;3;2;4;3;3;3;4;3;2;4;4;4;4;2;3;2;2;5;2;2;3;4;5;4;2;5;4;5;4;5;5;5;5;4;4
1;70;1;0;7;1;3;3;3;3;3;4;4;4;1;3;3;3;5;3;4;3;5;5;5;5;3;5;5;5;5;4;5;5;3;5;2;4;5;4;3;1;1
1;65;1;0;7;0;3;3;2;3;2;3;3;3;3;3;3;3;4;4;3;4;2;3;4;4;4;4;4;4;5;5;5;5;3;4;4;4;4;5;4;2;2
1;70;1;0;7;0;3;3;2;2;3;3;3;3;3;3;2;3;3;3;2;3;3;2;2;3;2;2;3;3;2;2;2;3;4;4;3;3;3;5;3;4;4
1;62;1;0;7;0;3;4;1;2;1;3;3;3;2;3;2;2;2;3;2;1;5;3;3;4;1;2;1;2;3;2;2;5;3;3;4;4;3;5;5;5;3
1;66;7;0;7;0;4;5;3;3;1;1;3;3;2;3;3;5;5;3;1;3;1;1;1;1;1;3;1;1;3;2;1;5;5;5;3;5;5;5;5;3;3
1;63;7;0;7;0;3;4;2;3;3;3;2;3;3;3;3;3;3;3;3;3;4;3;3;4;2;3;2;3;3;3;4;5;3;5;4;4;5;4;3;4;4
1;61;7;0;7;0;3;3;2;3;4;5;3;4;2;3;4;3;3;4;3;3;4;2;3;3;2;3;3;3;3;3;3;3;3;2;5;2;5;2;4;4;4
0;56;7;0;7;0;3;5;3;3;3;3;3;3;1;3;3;3;3;3;3;3;5;5;5;5;1;5;5;1;5;1;1;5;3;1;2;5;5;5;3;3;3
0;56;7;0;7;0;3;5;3;3;3;3;3;3;1;3;3;3;3;3;3;3;5;5;5;5;1;5;5;1;5;1;1;5;3;1;2;5;5;5;3;3;3
1;66;7;0;7;0;2;3;2;3;3;2;3;3;2;3;3;3;3;3;3;3;3;3;4;4;2;4;3;4;3;4;4;5;3;4;3;5;5;5;4;2;2
1;75;2;0;7;0;2;2;5;4;1;3;1;3;5;5;3;3;1;3;3;4;1;3;4;5;1;4;1;4;5;5;5;5;5;3;5;5;5;5;5;2;3
1;66;2;0;7;0;3;5;3;3;3;3;3;3;3;3;3;4;4;3;2;3;4;2;2;3;2;4;2;5;3;3;4;5;3;5;3;5;5;5;5;3;3
1;42;2;0;7;0;2;3;1;1;5;3;3;3;3;3;3;3;5;3;3;1;5;3;3;2;1;3;3;1;3;1;3;5;3;3;2;5;3;5;4;3;3
1;63;2;0;7;0;3;3;3;1;5;3;2;4;1;3;3;3;4;4;1;1;2;1;4;5;1;3;1;3;1;3;1;5;4;4;4;5;5;5;5;3;5
1;75;2;0;7;0;3;5;5;3;5;5;4;3;3;5;4;5;5;5;1;3;3;3;5;4;1;3;1;2;3;2;2;4;2;4;2;5;3;5;5;4;4
1;63;2;0;7;0;3;5;2;4;4;4;3;3;4;4;3;4;4;2;4;4;2;1;5;5;3;3;4;4;4;2;3;5;3;3;3;5;1;5;3;2;2
1;55;3;0;7;0;2;5;5;3;2;4;2;2;1;5;3;5;5;4;1;3;5;5;5;5;2;5;1;2;4;5;3;5;5;5;4;5;5;5;5;3;5
1;59;3;0;7;0;3;5;1;1;4;2;2;2;2;2;1;1;1;1;4;1;2;1;2;2;1;1;1;1;1;1;1;5;4;4;3;5;4;5;4;4;5
1;65;4;0;7;0;3;5;3;2;3;3;3;3;3;4;3;3;3;3;3;3;3;2;3;3;1;2;1;3;3;3;3;4;3;3;4;5;5;5;5;5;5
1;70;4;0;7;0;3;5;3;2;5;5;2;4;3;5;2;2;5;3;1;1;2;1;3;3;1;1;1;2;3;2;1;1;3;2;3;4;4;4;3;4;5
