Genero;Edad;Tipo_Hogar;Vive_rural;Actividad_Laboral;Trabajo_Esencial;Ingreso_Neto_Mensual;¿Hasta que punto está preocupado de que Usted o un miembro de su familia se pueda contagiar de Coronavirus COVID-19? ;¿Ha podido concentrarse bien en lo que hace?;¿Sus preocupaciones le han hecho perder el sueño?;¿Ha sentido que está jugando un papel útil en la vida? ;¿Se ha sentido capaz de tomar decisiones?;¿Se ha sentido constantemente agobiado y en tensión?;¿Ha sentido que no puede superar sus dificultades?;¿Ha sido capaz de disfrutar sus actividades normales de cada día?;¿Ha sido capaz de hacer frente a sus problemas?;¿Se ha sentido deprimido?;¿Ha perdido confianza en sí mismo?;¿Ha pensado que usted es una persona que no vale para nada?;¿Se siente razonablemente bien dadas las circunstancias actuales?;¿Ha experimentado problemas físicos derivados de la falta de actividad física?;¿Ha experimentado insomnio/problemas para dormir?;Aburrimiento;Sensación de aislamiento;Frustación;Irritación;Preocupación;Soledad;Impotencia;Rabia;Miedo;Nerviosismo;Tristeza;Culpa;Felicidad;Alivio;Acuerdo_Cumplimiento_Medidas;La personas importantes para mi respetan a rajatabla las medidas para frenar el contagio;En mi entorno directo he tenido conocimiento de muy pocos casos de personas que hayan infringido las medidas de prevención de contagio;Las personas que son importantes para mi piensan que respetar las medidas de prevención del contagio es lo correcto;Acuerdo_Presion_Social;Pensar en el COVID-19  me hace sentir ansioso/a;Me siento tenso/a cuando pienso en la amenaza del  COVID19
1;51;4;0;4;0;4;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;4;5;2;5;2;3;4;5;2;5;3;3;4;4;5;5;4;2;3
0;50;4;0;4;1;2;5;3;3;3;3;4;3;3;3;3;3;3;3;3;4;5;5;5;5;2;5;5;5;2;3;5;5;3;3;2;2;2;2;3;3;3
0;53;4;0;4;0;4;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;3;5;4;5;3;4;3;5;3;3;4;4;5;4;5;3;3
1;53;4;0;4;0;5;3;3;4;3;3;3;3;2;3;2;3;3;3;2;3;2;3;3;2;3;2;3;2;3;2;2;3;3;3;2;3;3;4;4;2;2
0;51;4;0;4;0;3;4;3;2;3;3;3;3;2;3;3;3;3;4;2;2;5;2;5;4;2;5;2;5;2;2;2;5;5;5;2;4;2;4;3;2;2
1;57;4;0;4;1;5;4;2;1;4;3;1;4;3;3;1;3;4;4;4;1;5;5;2;2;1;5;1;1;2;1;1;5;3;3;2;5;5;5;4;3;4
0;59;4;0;4;0;5;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;5;3;3
1;44;4;0;4;1;4;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;5;5;5;4;5;5;5;5;5;5;5;5;3;5;4;4;5;5;5;1;1
0;43;5;0;4;1;1;4;2;2;3;3;2;3;1;3;2;3;3;4;3;3;3;2;3;3;2;3;3;4;4;3;3;3;3;3;3;4;3;4;3;3;3
1;44;6;0;4;0;5;5;1;3;3;3;1;1;4;4;3;3;3;1;3;4;5;5;5;5;1;5;1;5;1;1;5;5;3;5;1;1;3;5;3;5;5
0;60;6;0;4;1;6;3;3;4;2;3;3;3;2;2;3;3;3;2;3;3;3;4;4;3;3;4;3;4;5;3;3;4;4;4;4;5;5;5;5;2;2
1;38;7;0;4;1;4;4;2;3;3;3;4;4;3;3;3;3;3;4;3;3;4;4;4;3;2;4;4;4;3;4;5;5;4;4;2;3;3;4;4;1;1
0;54;4;0;4;0;5;3;4;1;1;3;1;2;2;3;2;1;2;3;1;1;2;5;3;3;2;5;3;2;3;4;4;5;2;2;5;5;5;5;3;4;3
0;45;1;0;4;1;2;4;2;2;2;4;4;3;3;4;2;4;4;4;2;1;4;2;4;2;2;2;4;2;4;4;2;5;5;2;1;2;4;4;4;2;2
1;44;1;0;4;0;3;3;2;2;5;5;3;3;4;4;5;3;5;5;3;2;5;2;5;5;3;4;5;5;4;3;3;5;4;3;2;5;5;5;3;2;2
0;61;1;0;4;0;3;5;4;2;4;4;3;3;3;4;3;4;4;4;2;2;2;2;2;3;2;2;3;3;2;3;2;4;4;3;2;4;3;5;3;4;4
1;41;1;0;4;0;2;4;1;2;3;3;3;3;2;3;2;4;5;4;3;2;2;3;3;2;2;4;4;3;4;2;4;5;2;3;3;2;3;2;4;3;2
1;33;1;0;4;1;3;5;2;2;5;4;2;3;1;2;2;3;5;4;3;3;1;1;1;2;2;1;2;2;2;2;2;2;4;3;1;3;3;4;4;4;4
1;51;1;0;4;0;2;5;3;3;4;5;3;4;3;4;3;5;5;3;3;4;4;1;3;3;2;3;5;5;4;5;5;5;3;5;4;4;3;5;3;3;3
1;42;1;0;4;0;2;4;4;4;3;3;4;4;5;4;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;4;5;5;3;2;2;5;2;5;1;2;1
1;47;1;0;4;0;3;5;4;3;3;3;4;4;3;3;4;4;1;4;4;4;5;3;4;3;3;4;3;4;4;4;3;4;3;4;3;4;3;5;3;3;3
1;57;7;0;4;0;4;2;4;3;3;3;4;3;4;4;4;3;3;3;3;3;5;4;5;5;4;5;5;5;4;5;5;5;2;2;4;3;4;5;5;3;3
1;41;7;0;4;0;3;5;3;5;3;3;3;3;3;3;3;3;3;3;2;4;5;4;3;3;2;4;2;4;2;3;2;4;4;4;3;4;4;5;4;5;5
1;42;2;0;4;0;3;5;3;1;4;3;3;3;3;3;3;3;3;3;1;1;5;5;4;3;1;5;1;1;1;1;3;5;3;1;2;4;4;5;4;5;5
1;52;2;0;4;0;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;3;5;5;5;4;4;4;5;5;4;5;4;5;4;3;4;4;5;5;5;3;3
1;48;2;0;4;0;3;5;5;5;4;5;5;5;5;5;5;5;5;4;3;5;5;5;5;5;3;4;5;5;3;5;3;4;2;2;5;5;4;4;5;3;3
1;49;4;0;4;1;1;3;3;1;3;3;1;1;1;1;1;3;2;1;3;3;5;1;1;1;1;1;1;1;1;1;1;1;5;5;2;5;4;5;3;5;5
1;46;4;0;4;1;5;5;1;3;3;3;3;3;3;3;1;4;5;5;1;3;5;3;3;2;1;5;3;3;3;3;2;5;3;5;3;4;4;4;5;3;3
1;46;4;0;4;1;3;5;1;1;5;1;3;3;1;3;3;3;3;3;1;1;5;2;1;2;1;5;2;1;1;1;2;5;3;3;2;4;4;5;3;5;5
1;48;4;0;4;1;6;5;2;1;5;5;1;1;3;4;1;2;3;4;1;1;3;2;3;1;1;3;2;1;2;1;2;3;4;2;1;5;5;5;3;4;4
1;49;4;0;4;0;5;4;2;1;3;3;2;3;3;3;3;3;4;3;4;2;5;5;5;5;2;5;5;5;2;2;3;5;3;3;5;5;5;5;3;4;3
1;55;4;0;4;0;4;2;1;4;2;1;3;3;2;2;1;1;4;2;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;5;3;5;3
1;59;4;0;4;0;3;5;2;3;2;2;2;2;2;3;3;3;3;3;3;3;3;3;2;2;2;3;1;1;2;1;1;5;4;3;4;4;4;4;5;4;4
1;45;4;0;4;0;4;4;3;2;3;3;1;2;1;3;1;3;3;1;1;1;2;2;2;2;1;3;2;2;2;2;1;5;3;3;2;4;5;5;3;3;3
1;47;4;0;4;0;4;3;2;3;2;3;3;3;3;4;4;4;3;4;3;3;2;4;2;3;2;5;2;2;2;3;2;4;3;3;4;4;4;4;5;3;3
0;50;4;0;4;0;2;4;2;2;4;4;1;1;2;3;2;2;3;3;2;2;4;3;1;1;1;4;2;1;4;2;2;3;4;4;5;5;5;5;4;2;1
1;49;4;0;4;0;3;5;3;3;3;3;3;2;1;3;3;3;3;3;1;2;3;2;3;3;2;3;3;3;2;3;3;3;3;3;4;5;5;4;4;3;3
1;52;4;0;4;0;5;2;4;3;3;3;3;3;3;3;3;3;3;3;3;2;3;4;3;3;2;4;3;5;5;5;3;5;3;3;3;4;4;5;4;3;3
1;53;4;0;4;0;4;5;4;5;3;3;3;3;4;3;3;3;3;3;4;2;4;4;5;5;1;5;1;2;2;3;2;3;3;5;1;5;4;5;5;2;4
1;44;4;0;4;0;3;5;3;3;1;3;1;1;1;1;1;5;5;2;5;5;5;5;1;1;5;5;1;1;5;1;1;5;5;5;5;3;2;5;3;1;1
1;52;4;0;4;1;5;4;3;3;4;3;2;3;3;3;3;3;3;3;3;3;2;3;3;2;2;5;3;3;3;3;3;5;4;3;2;5;3;5;4;2;2
0;55;4;0;4;0;5;5;3;3;5;3;3;4;4;4;4;4;4;3;3;4;4;4;4;3;2;4;2;2;2;2;4;4;3;3;4;4;1;5;3;3;3
1;45;4;0;4;0;4;5;3;1;2;3;3;3;4;3;2;4;4;3;2;1;2;2;2;3;1;4;1;1;1;1;1;5;3;5;2;4;4;5;4;5;5
0;49;4;0;4;0;3;3;3;2;3;3;2;4;3;3;3;4;5;3;2;2;2;2;3;2;2;5;5;3;4;3;4;5;2;3;4;4;3;5;3;4;3
1;57;4;0;4;0;4;5;2;1;3;3;3;3;3;3;3;3;3;3;3;1;3;4;4;4;3;4;3;4;4;3;3;5;3;4;4;5;5;5;4;3;3
0;50;4;0;4;0;3;5;1;2;4;2;1;3;2;2;3;3;4;4;4;2;5;3;2;1;1;5;2;2;2;1;2;5;4;4;4;5;4;5;5;4;5
0;55;4;0;4;1;4;4;3;3;4;3;3;3;2;3;3;3;3;4;3;3;3;4;3;4;2;3;2;3;3;4;3;4;3;4;3;4;3;4;4;3;3
1;52;4;0;4;0;2;4;2;1;3;3;2;3;2;3;3;3;3;3;2;1;5;2;1;2;1;3;1;4;5;2;2;5;4;5;3;5;5;5;3;3;3
0;54;4;0;4;0;4;2;3;4;3;3;4;4;3;3;3;3;4;3;3;3;5;4;4;5;3;5;5;5;4;5;4;5;1;3;5;4;4;5;4;1;1
1;48;4;0;4;1;4;4;2;2;3;3;3;3;4;3;3;3;3;3;3;2;5;5;5;5;3;5;5;5;5;5;5;5;5;5;3;3;5;5;2;4;4
1;44;4;0;4;0;3;4;2;1;2;3;2;3;3;3;2;2;3;3;3;1;5;5;4;2;2;4;4;4;2;2;2;4;3;5;5;5;5;5;5;5;5
1;45;4;0;4;0;4;5;1;1;3;2;1;2;3;2;2;3;3;3;2;1;4;2;2;3;1;3;1;4;1;1;1;3;3;2;4;4;5;5;4;5;5
1;54;4;0;4;0;3;1;1;3;4;3;3;3;2;3;3;3;3;4;2;3;1;3;5;5;5;5;5;5;5;5;4;5;3;3;4;4;5;5;4;1;1
1;39;4;0;4;0;3;4;1;2;3;4;3;3;2;3;3;3;5;3;2;2;4;2;2;3;2;5;1;3;2;2;1;5;2;4;1;2;3;3;2;2;2
1;46;5;0;4;1;3;4;4;3;3;4;4;5;4;4;4;4;4;4;5;4;4;2;5;4;4;5;3;5;5;4;5;5;1;1;4;5;5;5;5;3;3
1;52;5;0;4;0;3;5;2;3;1;1;3;4;1;2;3;2;2;3;2;3;1;1;1;2;1;1;2;2;4;4;4;4;3;3;2;2;4;5;3;3;3
1;40;6;0;4;0;4;5;3;3;3;4;3;3;3;3;3;4;4;3;4;3;4;4;4;4;3;4;4;4;4;3;4;5;3;5;1;4;2;3;2;3;3
0;53;6;0;4;0;3;5;3;2;3;3;3;3;1;3;3;3;3;3;3;3;2;2;2;2;2;3;2;2;2;3;2;5;3;3;4;5;5;4;5;3;4
1;39;6;0;4;0;4;3;4;3;3;4;3;3;4;4;4;3;5;4;2;3;5;5;5;5;4;4;5;5;4;5;5;5;1;3;2;3;3;5;1;1;1
1;57;6;0;4;0;3;5;3;2;4;3;3;3;4;3;2;3;3;3;3;2;5;3;4;4;2;3;3;2;2;3;2;3;4;4;2;5;4;5;1;5;5
0;59;6;0;4;0;3;4;2;2;2;2;2;3;2;2;2;2;3;3;2;2;3;2;3;4;1;3;2;2;2;1;2;4;3;4;2;4;4;5;4;4;5
1;64;6;0;4;1;5;3;3;3;4;4;3;3;3;3;3;3;3;4;3;2;2;2;3;2;3;3;3;3;2;3;2;3;4;4;3;5;4;5;4;3;3
0;59;1;1;4;0;3;3;3;4;3;3;4;4;4;3;4;4;5;4;2;4;4;3;4;5;4;4;5;5;5;5;5;5;3;3;2;3;3;4;3;1;1
0;69;1;1;4;1;3;5;3;3;3;3;3;4;3;3;2;4;4;4;4;4;5;5;4;5;3;5;4;5;5;5;5;5;3;3;4;4;5;5;3;1;1
1;33;7;1;4;1;4;4;3;2;4;3;2;4;1;3;3;4;4;3;4;2;4;1;4;4;1;2;2;4;1;4;2;5;4;4;4;5;5;5;4;5;5
1;49;4;1;4;0;5;5;2;2;2;3;2;3;4;3;3;2;3;3;3;2;2;3;3;3;2;5;5;4;2;3;3;5;2;3;3;5;4;4;3;4;4
1;52;4;1;4;0;6;5;2;2;1;2;2;2;2;2;2;2;2;3;3;3;3;2;3;2;2;2;3;3;3;2;2;3;3;4;3;4;4;5;3;3;4
1;55;4;1;4;0;2;5;3;2;3;3;2;3;2;3;3;3;3;3;3;2;5;5;5;5;2;5;5;5;2;4;2;5;4;5;4;5;5;5;4;4;3
1;47;4;1;4;0;4;5;1;1;3;3;2;3;2;3;2;2;3;3;3;2;5;5;5;2;1;5;2;3;2;1;3;5;3;5;3;4;4;5;5;4;4
1;42;4;1;4;1;3;5;1;1;4;4;1;1;1;3;5;3;3;1;5;1;5;1;1;2;1;3;1;1;2;1;2;4;3;5;4;5;5;5;5;2;4
0;57;4;1;4;0;6;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;4;3;3;3;4;3;4;3;4;4;4;3;4;2;2
1;62;4;1;4;0;4;4;2;3;2;2;3;2;3;3;3;2;3;3;2;3;2;1;1;3;1;2;1;2;2;3;1;3;4;4;4;4;5;5;4;4;5
0;55;4;1;4;0;3;5;1;3;3;5;5;1;3;4;4;3;5;5;3;3;1;1;3;3;3;5;3;3;4;4;4;5;3;3;2;5;5;5;5;3;3
0;49;4;1;4;0;4;1;3;3;5;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;1;1;3;5;4;5;3;1;1
1;49;4;1;4;1;3;4;3;5;5;5;3;2;5;5;5;5;5;5;4;5;5;5;5;2;2;5;1;3;2;2;4;5;3;3;2;5;4;5;5;2;1
1;43;5;1;4;0;4;3;4;5;5;5;5;5;5;5;5;5;5;5;3;5;4;4;5;4;3;5;5;5;4;5;5;5;1;1;2;5;4;5;5;1;1
1;46;5;1;4;0;6;4;2;2;3;3;2;2;3;3;2;2;3;3;2;2;5;5;3;2;2;5;2;1;2;2;3;4;2;3;3;3;2;4;4;4;4
1;56;5;1;4;0;3;5;3;3;5;4;3;1;4;4;3;3;3;3;2;3;4;2;1;4;3;2;1;5;3;3;3;3;2;2;3;5;5;5;5;4;4
1;45;6;1;4;0;3;5;3;5;4;4;1;3;4;3;4;5;5;5;1;5;5;5;5;5;2;5;1;1;2;3;1;5;5;3;5;1;3;2;3;2;2
0;62;6;1;4;0;4;5;4;5;5;5;5;5;2;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;1;1
1;39;6;1;4;0;3;3;3;1;2;2;2;4;3;3;3;3;3;3;4;2;1;1;2;1;1;3;1;1;4;1;1;4;3;3;3;4;4;4;5;3;2
1;39;6;1;4;0;3;3;3;1;2;2;2;4;3;3;3;3;3;3;4;2;1;1;2;1;1;3;1;1;4;1;1;4;3;3;3;4;4;4;5;3;2
1;44;7;1;4;0;3;3;4;5;3;3;4;3;4;4;3;4;4;4;3;4;4;4;4;3;3;4;4;4;4;4;3;4;3;3;2;4;5;5;3;3;3
0;53;4;1;4;0;5;2;1;4;2;3;1;3;2;3;3;3;3;3;1;1;4;2;2;1;2;4;4;2;5;2;4;5;3;4;4;5;5;4;4;2;2
0;48;6;1;4;0;3;3;3;2;3;3;3;3;2;3;3;3;3;3;3;2;4;4;5;5;4;5;5;5;5;5;5;5;2;3;3;5;5;5;3;1;2
1;51;1;1;4;0;2;4;1;4;2;3;3;4;3;3;3;3;3;3;3;3;3;4;3;5;2;3;3;3;4;4;4;5;3;3;4;4;5;5;5;3;3
1;52;1;1;4;0;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;2;3;2;2;3;5;3;2;5;5;4;4;5;3;3;4;4;4;4;3;1;1
1;45;1;1;4;0;3;5;5;2;3;3;4;3;3;3;3;4;2;5;2;2;4;2;3;3;1;3;2;3;1;3;3;3;2;5;2;2;2;5;4;5;5
1;44;1;1;4;0;2;5;2;1;3;3;3;3;4;4;4;4;5;4;2;1;2;4;5;5;2;5;1;1;1;1;1;5;2;3;5;5;5;5;4;5;5
1;58;1;1;4;1;3;4;3;3;3;3;3;3;3;3;3;3;3;3;2;3;4;4;4;4;2;4;2;4;2;3;4;4;4;4;3;5;5;5;4;3;3
1;34;1;1;4;1;2;3;2;3;4;3;3;5;3;3;3;5;5;4;4;3;4;4;5;5;5;4;5;5;5;4;4;5;3;5;3;4;4;5;3;1;1
1;34;1;1;4;1;2;3;2;3;4;3;3;5;3;3;3;5;5;4;4;3;4;4;5;5;5;4;5;5;5;4;4;5;3;5;3;4;4;5;3;1;1
1;44;7;1;4;0;2;2;3;5;3;4;3;4;2;4;2;5;5;4;5;5;5;2;2;3;4;4;3;3;4;4;2;5;3;3;4;4;4;5;5;2;1
1;55;2;1;4;1;3;5;1;1;3;4;1;3;3;3;1;3;3;4;2;1;5;3;3;2;1;4;1;2;2;2;2;5;2;5;2;4;1;5;3;3;4
1;52;2;1;4;0;3;3;3;3;4;4;4;4;1;3;3;3;4;4;2;3;2;3;3;3;2;3;3;4;2;2;2;5;3;4;2;5;4;5;4;3;3
0;52;4;1;4;0;4;2;4;2;3;4;4;4;5;5;5;5;5;5;5;1;5;5;5;5;4;5;5;5;5;4;5;5;2;4;2;5;3;5;4;1;1
1;50;4;1;4;0;3;3;3;3;3;3;3;5;4;3;3;3;5;4;4;3;3;3;3;2;2;4;2;2;3;2;4;5;3;3;4;4;2;5;4;4;4
1;46;4;1;4;1;4;3;1;3;2;3;3;3;3;3;3;4;3;3;2;2;2;3;2;2;2;3;3;3;3;2;2;5;3;3;3;5;4;5;3;3;3
0;38;4;1;4;1;4;4;2;2;5;3;2;3;4;4;3;3;4;2;3;3;3;2;2;2;2;4;3;3;3;3;3;5;2;3;2;5;4;5;4;3;3
0;56;4;1;4;0;4;4;3;3;3;4;4;3;3;3;3;3;3;3;2;3;3;5;5;5;3;5;4;3;4;4;2;5;3;5;2;2;4;4;5;2;2
1;58;4;1;4;0;5;3;3;2;3;3;3;3;3;3;3;3;3;3;2;3;3;2;3;3;2;3;2;3;2;3;2;3;3;4;3;4;4;5;4;4;4
1;39;4;1;4;0;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;5;5;5;5;3;5;5;5;4;5;5;5;3;3;3;5;5;5;4;2;1
1;40;4;1;4;1;3;5;3;1;3;5;1;3;3;3;1;3;5;3;3;3;5;5;3;1;1;5;1;1;1;1;1;5;1;5;1;5;5;5;5;5;5
0;56;4;1;4;0;2;4;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;1;1;1;3;1;1;3;3;1;3;5;5;1;3;2;5;4;4;4
1;40;4;1;4;1;3;5;3;1;3;5;1;3;3;3;1;3;5;3;3;3;5;5;3;1;1;5;1;1;1;1;1;5;1;5;1;5;5;5;5;5;5
1;42;6;1;4;0;3;3;2;3;4;3;3;3;3;3;3;3;3;3;2;3;2;2;2;3;2;4;2;3;4;3;3;4;3;3;4;4;5;4;5;4;4
1;44;6;1;4;0;2;4;4;2;4;4;2;2;3;4;3;3;4;4;3;3;2;2;3;3;2;3;2;3;2;2;3;4;3;3;3;3;3;5;4;3;4
0;46;6;1;4;1;2;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;4;4;4;4;5;5;5;4;3;3;3;2;4;3;2;2
1;43;6;1;4;0;3;5;2;3;3;3;2;3;2;3;1;2;3;3;3;3;4;2;3;2;2;3;1;1;1;2;1;3;5;4;3;4;4;5;5;4;5
1;38;6;1;4;0;3;5;1;1;5;3;1;1;1;1;1;1;1;3;1;1;5;1;1;3;1;3;1;1;1;1;1;3;3;3;1;5;1;5;5;5;5
1;38;6;1;4;0;3;2;1;5;1;3;1;2;1;3;2;2;3;3;1;2;1;1;1;1;3;3;2;2;5;4;1;3;5;5;3;5;5;5;5;1;2
1;53;6;1;4;0;3;4;3;3;3;3;3;4;4;4;3;3;4;4;4;3;3;2;2;4;2;4;2;3;4;3;2;3;4;3;2;5;4;5;5;2;2
1;35;6;1;4;1;3;4;3;2;3;4;2;4;4;4;4;4;5;3;3;2;4;2;4;4;2;4;3;3;2;2;3;3;3;3;4;4;5;5;3;3;3
1;39;6;1;4;1;2;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;5;3;1;1
1;44;7;1;4;0;4;4;1;3;1;2;3;2;2;2;2;2;2;3;2;3;1;2;3;3;1;1;2;4;5;4;2;5;4;4;3;3;3;4;4;4;4
1;55;4;0;4;0;4;4;1;2;1;2;3;3;3;3;3;3;3;3;3;2;5;3;4;4;2;5;2;5;3;3;4;5;2;3;4;5;5;5;5;2;2
1;43;6;0;4;1;5;3;3;2;5;5;2;3;3;4;2;4;4;4;3;2;3;3;4;2;2;4;4;2;2;3;2;5;4;4;4;5;5;5;4;3;3
0;53;1;0;4;0;3;3;3;3;3;3;4;4;3;3;4;4;4;3;3;3;2;3;4;5;4;3;4;5;4;5;5;5;3;3;3;3;3;4;4;2;2
0;48;1;0;4;0;2;5;4;4;3;4;2;3;3;3;3;4;4;4;5;2;2;2;4;4;3;2;5;5;5;4;3;5;3;3;2;4;4;5;4;2;2
1;52;1;0;4;0;3;2;3;3;3;3;3;3;2;3;3;3;3;3;2;3;4;3;5;5;5;4;5;5;5;5;4;5;3;3;2;4;4;5;4;1;1
1;51;1;0;4;0;3;4;3;4;2;3;2;4;3;3;4;3;3;4;2;3;3;4;4;3;3;4;4;4;3;3;3;4;3;4;3;4;4;4;4;2;2
1;53;1;0;4;0;3;4;5;5;2;4;5;4;3;3;5;5;4;4;5;4;5;4;5;5;5;5;5;5;4;5;5;5;4;5;3;5;1;5;3;1;3
1;59;1;0;4;1;3;5;2;4;4;4;4;4;4;3;2;2;5;4;1;4;5;5;5;5;3;4;4;5;3;5;2;5;3;3;5;5;5;5;5;3;3
0;56;1;0;4;0;4;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;3;5;4;4;4;4;3;1;1
0;55;1;0;4;0;4;4;2;4;4;3;4;4;3;3;3;3;3;4;3;3;5;3;3;5;3;3;5;2;3;4;3;5;3;5;3;3;5;5;3;1;1
1;46;1;0;4;0;2;5;1;2;3;3;2;3;1;3;3;3;3;3;3;2;4;5;5;5;3;4;4;5;3;2;1;5;3;2;2;5;5;5;4;4;4
0;55;1;0;4;1;3;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;2;3;2;5;2;5;5
0;32;1;0;4;1;3;4;2;2;4;3;4;4;3;3;3;3;3;3;1;2;5;2;5;5;4;3;5;5;4;5;5;5;2;3;2;4;4;5;2;1;2
1;51;1;0;4;0;3;4;2;2;3;3;2;3;3;3;3;4;4;4;3;2;5;4;3;3;1;3;1;3;2;2;2;3;3;4;4;5;5;5;4;5;5
0;51;1;0;4;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2;3;3;2;2;3;3;3;3;2;4;3;4;3;4;5;5;4;3;3
1;33;1;0;4;0;2;5;2;2;3;3;3;3;3;4;3;3;3;4;3;2;3;2;5;5;2;5;5;5;3;4;5;5;2;5;3;3;3;3;3;4;4
1;39;1;0;4;0;3;5;2;2;3;2;2;3;1;3;2;3;2;5;1;2;2;2;3;1;2;1;2;5;4;2;2;5;3;3;4;4;2;5;4;4;4
1;52;1;0;4;1;3;4;3;2;3;3;2;3;3;3;4;4;5;4;4;2;5;4;5;5;4;4;4;5;5;4;4;5;3;5;3;4;3;5;2;2;1
1;26;1;0;4;1;2;5;3;2;4;4;3;3;3;3;2;4;5;2;2;2;2;2;2;3;2;3;2;3;2;3;3;3;3;2;2;4;4;5;2;4;4
1;41;1;0;4;0;3;4;3;3;3;3;3;3;2;3;2;3;3;3;3;3;3;2;2;2;1;1;3;4;3;3;3;5;3;5;4;4;5;5;4;3;3
0;46;1;0;4;0;3;3;4;3;4;4;5;5;2;3;5;5;5;4;3;4;4;3;5;5;4;4;5;5;5;5;5;5;4;4;3;5;4;5;4;1;1
0;60;1;0;4;0;3;3;2;1;3;4;3;3;1;3;3;4;5;4;2;1;3;2;3;5;2;2;2;4;5;3;4;5;3;3;2;5;3;4;2;2;2
1;57;1;0;4;0;3;5;2;4;4;5;4;4;4;4;5;5;5;5;5;5;5;3;4;4;4;4;5;5;5;5;4;5;2;3;4;4;5;4;3;1;1
1;42;1;0;4;0;2;5;1;1;1;2;1;2;1;1;2;2;3;3;2;2;2;1;1;2;1;1;1;2;2;1;1;3;3;3;3;4;5;5;4;5;5
0;60;1;0;4;0;3;4;3;3;2;2;3;3;2;2;3;2;1;3;2;3;4;2;3;3;2;2;1;5;3;3;1;5;3;5;4;1;3;4;3;4;4
1;53;1;0;4;0;4;3;2;3;2;3;3;3;4;4;3;3;3;4;3;3;5;1;2;2;1;1;1;5;5;4;4;5;2;3;4;5;4;5;5;3;3
1;32;1;0;4;1;3;4;3;2;3;3;3;3;3;3;2;3;3;3;3;2;1;2;1;3;1;1;3;4;2;2;1;5;5;5;1;5;3;5;2;4;5
1;59;1;0;4;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;2;3;3;2;2;3;3;2;3;2;3;3;3;2;5;5;5;4;3;3
0;59;1;0;4;0;4;2;4;3;3;3;3;3;3;3;3;3;3;4;3;3;4;3;4;5;4;4;4;4;5;4;4;5;3;3;4;5;4;4;5;3;3
1;47;1;0;4;0;3;2;2;2;4;3;2;3;2;3;3;3;5;4;2;2;5;2;3;3;3;3;3;3;3;3;3;5;3;3;4;4;5;4;2;2;2
0;34;7;0;4;0;3;5;2;3;2;2;5;4;3;3;3;3;3;4;1;2;1;3;3;3;1;3;3;3;1;3;1;3;2;2;3;4;5;5;5;5;5
0;49;7;0;4;0;2;5;2;2;1;4;2;2;3;3;2;3;3;3;1;2;3;2;2;1;1;3;2;2;3;2;2;5;3;3;2;2;3;3;1;4;5
0;56;7;0;4;1;3;5;3;1;3;3;3;3;3;3;2;3;3;3;3;1;2;1;2;2;1;1;3;3;3;1;3;3;3;3;4;5;4;5;5;3;3
0;22;7;0;4;0;4;4;3;4;3;4;5;5;4;4;5;5;5;4;2;5;2;1;3;4;3;5;4;4;5;3;4;5;2;2;1;4;5;5;5;1;2
1;51;7;0;4;0;3;4;4;1;3;3;3;3;3;3;3;3;3;4;1;1;4;1;2;2;3;4;4;4;3;3;3;5;3;3;5;5;5;5;5;3;4
1;46;7;0;4;0;4;5;4;3;3;3;4;4;2;3;4;4;4;4;2;4;2;2;2;4;2;4;2;4;2;2;4;4;2;3;3;4;3;5;5;2;3
1;52;7;0;4;0;3;4;3;3;3;3;4;4;3;3;3;3;4;4;2;3;4;2;4;4;3;2;4;4;3;4;4;5;3;4;4;4;5;5;4;2;2
1;41;7;0;4;0;2;5;3;2;3;3;3;3;3;3;3;5;5;4;2;3;2;2;3;2;2;3;2;5;5;5;2;5;3;5;2;5;5;5;2;5;5
1;41;7;0;4;1;4;2;4;5;5;4;5;4;4;4;4;4;5;4;2;3;3;2;4;3;4;4;3;4;4;4;3;5;2;1;4;4;4;5;5;2;2
